dest	src	nlq	lq	cost
10.63.148.33	10.63.63.33	0.909	0.858	1.279
10.63.149.33	10.63.63.33	0.600	0.356	4.670
10.63.1.1	10.63.64.33	1.000	1.000	1.000
10.63.63.33	10.63.64.33	0.619	0.897	1.797
10.63.65.33	10.63.64.33	0.843	0.960	1.234
10.63.66.33	10.63.64.33	1.000	1.000	1.000
10.63.67.33	10.63.64.33	1.000	1.000	1.000
10.63.68.33	10.63.64.33	0.804	0.933	1.332
10.63.148.33	10.63.64.33	0.765	0.788	1.658
10.63.1.1	10.63.65.33	1.000	1.000	1.000
10.63.63.33	10.63.65.33	0.835	0.921	1.299
10.63.64.33	10.63.65.33	0.960	0.870	1.195
10.63.67.33	10.63.65.33	0.780	0.894	1.433
10.63.68.33	10.63.65.33	0.983	0.878	1.156
10.63.64.33	10.63.66.33	1.000	1.000	1.000
10.63.67.33	10.63.66.33	1.000	1.000	1.000
10.63.68.33	10.63.66.33	0.862	0.827	1.400
10.63.148.33	10.63.66.33	0.611	0.510	3.206
10.63.149.33	10.63.66.33	0.631	0.191	8.242
10.63.64.33	10.63.67.33	1.000	1.000	1.000
10.63.65.33	10.63.67.33	0.894	0.761	1.470
10.63.66.33	10.63.67.33	1.000	1.000	1.000
10.63.68.33	10.63.67.33	0.960	0.674	1.543
10.63.1.1	10.63.68.33	1.000	1.000	1.000
10.63.63.33	10.63.68.33	1.000	1.000	1.000
10.63.64.33	10.63.68.33	0.960	0.804	1.294
10.63.65.33	10.63.68.33	0.839	0.983	1.210
10.63.66.33	10.63.68.33	0.736	0.897	1.510
10.63.67.33	10.63.68.33	0.662	0.960	1.570
10.63.17.33	10.63.73.33	1.000	1.000	1.000
10.63.23.33	10.63.73.33	0.905	0.792	1.393
10.63.52.33	10.63.73.33	1.000	1.000	1.000
10.63.164.33	10.63.73.33	0.497	0.596	3.368
10.63.168.33	10.63.73.33	1.000	1.000	1.000
10.63.1.1	10.63.74.33	1.000	1.000	1.000
10.63.151.33	10.63.74.33	0.960	0.964	1.078
10.63.152.33	10.63.74.33	0.497	0.435	4.612
10.63.14.97	10.63.75.33	0.643	0.329	4.720
10.63.76.33	10.63.75.33	1.000	1.000	1.000
10.63.194.1	10.63.75.33	0.478	0.368	5.670
